"pitch_type","game_date","release_speed","release_pos_x","release_pos_z","player_name","batter","pitcher","events","description","spin_dir","spin_rate_deprecated","break_angle_deprecated","break_length_deprecated","zone","des","game_type","stand","p_throws","home_team","away_team","type","hit_location","bb_type","balls","strikes","game_year","pfx_x","pfx_z","plate_x","plate_z","on_3b","on_2b","on_1b","outs_when_up","inning","inning_topbot","hc_x","hc_y","tfs_deprecated","tfs_zulu_deprecated","umpire","sv_id","vx0","vy0","vz0","ax","ay","az","sz_top","sz_bot","hit_distance_sc","launch_speed","launch_angle","effective_speed","release_spin_rate","release_extension","game_pk","fielder_2","fielder_3","fielder_4","fielder_5","fielder_6","fielder_7","fielder_8","fielder_9","release_pos_y","estimated_ba_using_speedangle","estimated_woba_using_speedangle","woba_value","woba_denom","babip_value","iso_value","launch_speed_angle","at_bat_number","pitch_number","pitch_name","home_score","away_score","bat_score","fld_score","post_away_score","post_home_score","post_bat_score","post_fld_score","if_fielding_alignment","of_fielding_alignment","spin_axis","delta_home_win_exp","delta_run_exp","bat_speed","swing_length","estimated_slg_using_speedangle","delta_pitcher_run_exp","hyper_speed","home_score_diff","bat_score_diff","home_win_exp","bat_win_exp","age_pit_legacy","age_bat_legacy","age_pit","age_bat","n_thruorder_pitcher","n_priorpa_thisgame_player_at_bat","pitcher_days_since_prev_game","batter_days_since_prev_game","pitcher_days_until_next_game","batter_days_until_next_game","api_break_z_with_gravity","api_break_x_arm","api_break_x_batter_in","arm_angle","attack_angle","attack_direction","swing_path_tilt","intercept_ball_minus_batter_pos_x_inches","intercept_ball_minus_batter_pos_y_inches"
"ST","2025-09-25","80.2","-1.22","5.35","Buehler, Walker",682663,621111,"field_out","hit_into_play",,,,,6,"Agustín Ramírez flies out to left fielder Brandon Marsh.","R","R","R","PHI","MIA","X",7,"fly_ball",1,0,2025,"1.26","-0.2",0.34413067353177595,2.1344051746954125,,,,2,5,"Top",78.62,87.37,,,,,1.089747042643005,-116.79887458033451,0.057422123163731964,11.156550440827266,24.76521611349124,-34.278233315734205,"3.13","1.41",300,"92.6",47,"80.1",2512,"6.5",776188,592663,547180,681082,664761,624641,669016,664056,596146,"54.04",0.008,0.012,"0",1,0,0,3,36,2,"Sweeper",1,0,0,1,0,1,0,1,"Standard","Standard",81,"0.017","-0.297","82.3","8.2",0.02,"0.297","92.6",1,-1,0.691,0.30900000000000005,30,23,31,24,3,2,6,1,,1,"3.78","-1.26","-1.26","38.2",13.567200428117385,-16.171754216387008,22.568091188215543,41.58066120592153,41.320766946724675
"ST","2025-09-25","81.2","-1.12","5.53","Buehler, Walker",682663,621111,,"ball",,,,,14,"Ball","R","R","R","PHI","MIA","B",,,0,0,2025,"1.27","0.11",1.9782755303444,1.2893285152400193,,,,2,5,"Top",,,,,,,4.513570244629813,-118.14588773389703,-2.996358828746697,10.795735848426332,25.4747895312902,-30.772987217770932,"3.14","1.44",,,,"80.9",2484,"6.4",776188,592663,547180,681082,664761,624641,669016,664056,596146,"54.09",,,,,,,,36,1,"Sweeper",1,0,0,1,0,1,0,1,"Standard","Standard",76,"-0.002","0.037",,,,"-0.037",,1,-1,0.693,0.30700000000000005,30,23,31,24,3,2,6,1,,1,"3.39","-1.27","-1.27","40.5",,,,,
"FF","2025-09-25","92.6","-1.2","5.66","Buehler, Walker",805300,621111,"field_out","hit_into_play",,,,,9,"Jakob Marsee lines out to second baseman Bryson Stott.","R","L","R","PHI","MIA","X",4,"line_drive",0,0,2025,"-0.4","1.3",0.7189078419811574,2.0685483011735792,,,,1,5,"Top",149.97,144.09,,,,,5.795959938078234,-134.62516307652652,-6.174857129658627,-6.166923390829803,30.18699296895548,-15.246475311615677,"3.31","1.52",154,"80.1",11,"92.6",2132,"6.4",776188,592663,547180,681082,664761,624641,669016,664056,596146,"54.07",0.443,0.399,"0",1,0,0,4,35,1,"4-Seam Fastball",1,0,0,1,0,1,0,1,"Standard","Standard",208,"0.023","-0.254","72.4","7.1",0.466,"0.254","88.0",1,-1,0.67,0.32999999999999996,30,24,31,24,3,2,6,1,,1,"1.37","0.4","-0.4","41.6",3.395193572335237,-2.8305942431588367,42.08482268704294,31.217424244354778,28.51784030529666
"SL","2025-09-25","88","-1.01","5.79","Buehler, Walker",688363,621111,"field_out","hit_into_play",,,,,6,"Graham Pauley flies out to right fielder Max Kepler.","R","L","R","PHI","MIA","X",9,"fly_ball",0,1,2025,"0.37","0.54",0.38580680821281615,2.4534388686976842,,,,0,5,"Top",183.87,119.96,,,,,2.6303365802166114,-128.2506305573321,-3.1458659439261067,3.556749171486649,25.411811316092617,-25.78979839554488,"3.47","1.57",243,"83.2",51,"88.5",2285,"6.4",776188,592663,547180,681082,664761,624641,669016,664056,596146,"54.1",0.035,0.045,"0",1,0,0,3,34,2,"Slider",1,0,0,1,0,1,0,1,"Standard","Standard",169,"0.027","-0.22","74.1","7.2",0.063,"0.22","88.0",1,-1,0.643,0.357,30,24,31,25,2,1,6,4,,1,"2.39","-0.37","0.37","47.3",11.639633335398983,-11.279922904844122,28.68629814814947,29.68950963274009,38.54981509359241
"KC","2025-09-25","75.3","-0.89","5.79","Buehler, Walker",688363,621111,,"swinging_strike",,,,,14,"Swinging Strike","R","L","R","PHI","MIA","S",,,0,0,2025,"0.8","-1.33",0.11622932009397369,0.7781169737473395,,,,0,5,"Top",,,,,,,0.6512708798693102,-109.62768301761946,-0.7762276940309494,6.243181539482551,23.187630069142,-42.813715727338305,"3.47","1.57",,,,"74.6",2353,"6.2",776188,592663,547180,681082,664761,624641,669016,664056,596146,"54.33",,,,,,,,34,1,"Knuckle Curve",1,0,0,1,0,1,0,1,"Standard","Standard",35,"0.005","-0.039","38.8","7.3",,"0.039",,1,-1,0.638,0.362,30,24,31,25,2,1,6,4,,1,"5.41","-0.8","0.8","50.7",13.567396934984826,-14.818424118529302,35.399241115477835,33.015614563421686,38.90929020332992
"FC","2025-09-25","90.8","-0.97","5.71","Buehler, Walker",687859,621111,"field_out","hit_into_play",,,,,12,"Troy Johnston flies out to center fielder Harrison Bader.","R","L","R","PHI","MIA","X",8,"fly_ball",1,1,2025,"0.34","0.86",1.1453067987537942,2.6803276103812577,,,681393,2,4,"Top",146.8,92.89,,,,,4.600126236373085,-132.25148920625986,-3.564672527017039,3.030109661406398,26.806566658020824,-21.492735913705545,"3.5","1.63",271,"73.8",33,"91.3",2294,"6.4",776188,592663,547180,681082,664761,624641,669016,664056,596146,"54.08",0.316,0.297,"0",1,0,0,3,28,3,"Cutter",1,0,0,1,0,1,0,1,"Standard","Standard",178,"0.027","-0.255","71.6","6.4",0.38,"0.255","88.0",1,-1,0.658,0.34199999999999997,30,28,31,28,2,1,6,1,,1,"1.89","-0.34","0.34","46.6",0.8342702209783406,-11.17458377653408,40.57755745725756,23.01385514011215,30.86581902455538
"CH","2025-09-25","88","-1.37","5.55","Buehler, Walker",687859,621111,,"swinging_strike",,,,,4,"Swinging Strike","R","L","R","PHI","MIA","S",,,1,0,2025,"-1.28","0.31",-0.444190813926963,2.5018873648405404,,,681393,2,4,"Top",,,,,,,4.925885777016033,-128.0775969246954,-1.9327855730252557,-15.144636842674341,27.15487271301366,-28.57366562953288,"3.5","1.63",,,,"88.1",1183,"6.4",776188,592663,547180,681082,664761,624641,669016,664056,596146,"54.1",,,,,,,,28,2,"Changeup",1,0,0,1,0,1,0,1,"Standard","Standard",241,"0.004","-0.05","68.7","6.9",,"0.05",,1,-1,0.654,0.346,30,28,31,28,2,1,6,1,,1,"2.64","1.28","-1.28","34.6",2.385711986868578,7.672903625357846,32.47531252015672,42.72882302161564,27.111560096642677
"KC","2025-09-25","75.4","-1.05","5.76","Buehler, Walker",687859,621111,,"ball",,,,,11,"Ball","R","L","R","PHI","MIA","B",,,0,0,2025,"0.97","-1.07",-2.248280929414529,4.650606773571702,,,681393,2,4,"Top",,,,,,,-4.225136749503579,-109.33616290057512,6.846768909307867,8.524026088310096,20.715634626392948,-42.24242436497788,"3.53","1.64",,,,"75.3",2005,"6.6",776188,592663,547180,681082,664761,624641,669016,664056,596146,"53.91",,,,,,,,28,1,"Knuckle Curve",1,0,0,1,0,1,0,1,"Standard","Standard",42,"-0.003","0.035",,,,"-0.035",,1,-1,0.657,0.34299999999999997,30,28,31,28,2,1,6,1,,1,"5.13","-0.97","0.97","48.9",,,,,
"SI","2025-09-25","92.6","-1.27","5.36","Buehler, Walker",681393,621111,"hit_by_pitch","hit_by_pitch",,,,,11,"Connor Norby hit by pitch.","R","R","R","PHI","MIA","B",,,0,0,2025,"-1.37","0.65",-1.6510468947615418,3.4658599994647794,,,,2,4,"Top",,,,,,,2.019934300661509,-134.81134362789376,-0.4548477292642566,-17.086293529523076,30.48382897288895,-24.35141872621743,"3.2","1.49",,,,"92.6",1842,"6.4",776188,592663,547180,681082,664761,624641,669016,664056,596146,"54.14",,0.722289,"0.7",1,0,0,,27,1,"Sinker",1,0,0,1,0,1,0,1,"Standard","Standard",219,"-0.015","0.327",,,,"-0.327",,1,-1,0.672,0.32799999999999996,30,25,31,25,2,1,6,1,,1,"2.01","1.37","1.37","35.0",,,,,
"FF","2025-09-25","94.3","-1.23","5.78","Buehler, Walker",665052,621111,"double_play","hit_into_play",,,,,5,"Griffin Conine lines into a double play, shortstop Edmundo Sosa to first baseman Bryce Harper. Otto Lopez out at 1st.","R","L","R","PHI","MIA","X",6,"line_drive",1,2,2025,"-0.36","1.2",-0.17794058171263605,2.7975288566624945,,,672640,0,4,"Top",122.56,146.96,,,,,3.538497887345607,-137.26605838762973,-4.743612380661393,-5.3078188944569495,29.503207471228126,-16.15388206056064,"3.54","1.69",173,"100.8",7,"94.5",2003,"6.3",776188,592663,547180,681082,664761,624641,669016,664056,596146,"54.16",0.623,0.569,"0",1,0,0,4,26,4,"4-Seam Fastball",1,0,0,1,0,1,0,1,"Strategic","Standard",209,"0.085","-0.164","75.9","7.1",0.69,"0.164","100.8",1,-1,0.587,0.41300000000000003,30,27,31,28,2,1,6,2,,1,"1.36","0.36","-0.36","41.6",4.816163617674243,9.705447278611906,27.689044426744022,40.18367624175718,22.740049519467938
